stat,value
sig_in_test,20000
bkg_in_test,400000
accuracy,0.974152380952381
precision,0.9862795149968092
efficiency,0.4637
auc,0.9948761945625
f1score,0.6308196858974615
test loss,0.08989549657221499
threshold,0.9987775
regression_R^2,0.8254196538800679
classification loss weight,0.6
regression loss weight,0.4
regression activation type,relu
