stat,value
sig_in_test,20000
bkg_in_test,400000
accuracy,0.9732
precision,0.9856698511441901
efficiency,0.4437
auc,0.9948350514999998
f1score,0.6119363894552433
test loss,0.08408085000924696
threshold,0.99801075
auc,0.9948350514999998
