stat,value
sig_in_test,20000
bkg_in_test,400000
accuracy,0.9750785714285715
precision,0.986824634868757
efficiency,0.48315
auc,0.9946086861250001
f1score,0.6486973462360572
test loss,0.08476823396566523
threshold,0.99823904
regression_R^2,-0.09354555646885965
classification loss weight,0.9
regression loss weight,0.09999999999999998
regression activation type,relu
