stat,value
sig_in_test,20000
bkg_in_test,400000
accuracy,0.9742309523809524
precision,0.9863275039745628
efficiency,0.46535
auc,0.9949393513749998
f1score,0.6323546417408773
test loss,0.08966702780939624
threshold,0.9991712
regression_R^2,0.867200794663598
classification loss weight,0.5
regression loss weight,0.5
regression activation type,relu
