stat,value
sig_in_test,20000
bkg_in_test,400000
accuracy,0.9755071428571429
precision,0.9870624811954668
efficiency,0.49215
auc,0.9949703710625
f1score,0.6568127382588742
test loss,0.0855982835272189
threshold,0.9986179
auc,0.9949703710625
