stat,value
sig_in_test,20000
bkg_in_test,400000
accuracy,0.9766452380952381
precision,0.9876543209876543
efficiency,0.51605
auc,0.9950809039375
f1score,0.6778979154770463
test loss,0.08648569505722302
threshold,0.9984789
regression_R^2,0.8648130634486911
classification loss weight,0.6
regression loss weight,0.4
regression activation type,linear
